Year,State,Table_Data,Footnote,High.Value,Low.Value,CPI.Average,High.2018,Low.2018,Rate.Inflation,High.2000,High.Monthly,Rent.2000.Median,Perc.wage.33,Perc.wage.42
1968,Alabama,...,,0,0,34.78333333,0,0,4.95,0.00,0,256.4,0,0
1968,Alaska,2.1,,2.1,2.1,34.78333333,15.12,15.12,4.95,10.40,1746.36,705,0.403696832,0.403696832
1968,Arizona,18.72 - 26.40/wk(b),(b),0.66,0.468,34.78333333,4.75,3.37,4.95,3.27,548.856,403.2,0.734618916,0.734618916
1968,Arkansas,1.25/day(b),(b),0.15625,0.15625,34.78333333,1.12,1.12,4.95,0.77,129.9375,264.8,2.037902838,2.037902838
1968,California,1.65(b),(b),1.65,1.65,34.78333333,11.88,11.88,4.95,8.17,1372.14,465,0.338886703,0.338886703
1968,Colorado,1.00 - 1.25(b),(b),1.25,1,34.78333333,9,7.2,4.95,6.19,1039.5,408.6,0.393073593,0.393073593
1968,Connecticut,1.4,,1.4,1.4,34.78333333,10.08,10.08,4.95,6.93,1164.24,466.2,0.4004329,0.4004329
1968,Delaware,1.25,,1.25,1.25,34.78333333,9,9,4.95,6.19,1039.5,416.6,0.400769601,0.400769601
1968,District of Columbia,1.25 - 1.40,,1.4,1.25,34.78333333,10.08,9,4.95,6.93,1164.24,445.4,0.382567168,0.382567168
1968,Federal (FLSA),$1.15 & $1.60,,1.6,1.15,34.78333333,11.52,8.28,4.95,7.92,1330.56,402,0.302128427,0.302128427
1968,Florida,...,,0,0,34.78333333,0,0,4.95,0.00,0,414,0,0
1968,Georgia,...,,0,0,34.78333333,0,0,4.95,0.00,0,314.2,0,0
1968,Guam,1.25,,1.25,1.25,34.78333333,9,9,4.95,6.19,1039.5,,0,0
1968,Hawaii,1.25,,1.25,1.25,34.78333333,9,9,4.95,6.19,1039.5,476.6,0.458489658,0.458489658
1968,Idaho,1.15,,1.15,1.15,34.78333333,8.28,8.28,4.95,5.69,956.34,346.4,0.362214275,0.362214275
1968,Illinois,...,,0,0,34.78333333,0,0,4.95,0.00,0,464.6,0,0
1968,Indiana,1.15,,1.15,1.15,34.78333333,8.28,8.28,4.95,5.69,956.34,391.4,0.40926867,0.40926867
1968,Iowa,...,,0,0,34.78333333,0,0,4.95,0.00,0,371,0,0
1968,Kansas,...,,0,0,34.78333333,0,0,4.95,0.00,0,353.8,0,0
1968,Kentucky,.65 - .75(b),(b),0.75,0.65,34.78333333,5.4,4.68,4.95,3.71,623.7,309.4,0.496071829,0.496071829
1968,Louisiana,...,,0,0,34.78333333,0,0,4.95,0.00,0,301,0,0
1968,Maine,1.4,,1.4,1.4,34.78333333,10.08,10.08,4.95,6.93,1164.24,339.8,0.29186422,0.29186422
1968,Maryland,1.00 & 1.15,,1.15,1,34.78333333,8.28,7.2,4.95,5.69,956.34,467.2,0.488529184,0.488529184
1968,Massachusetts,1.6,,1.6,1.6,34.78333333,11.52,11.52,4.95,7.92,1330.56,433.2,0.325577201,0.325577201
1968,Michigan,1.25,,1.25,1.25,34.78333333,9,9,4.95,6.19,1039.5,429.4,0.413083213,0.413083213
1968,Minnesota,.70 - 1.15(b),(b),1.15,0.7,34.78333333,8.28,5.04,4.95,5.69,956.34,430.2,0.449840015,0.449840015
1968,Mississippi,...,,0,0,34.78333333,0,0,4.95,0.00,0,242.4,0,0
1968,Missouri,...,,0,0,34.78333333,0,0,4.95,0.00,0,359.2,0,0
1968,Montana,...,,0,0,34.78333333,0,0,4.95,0.00,0,338.6,0,0
1968,Nebraska,1,,1,1,34.78333333,7.2,7.2,4.95,4.95,831.6,358,0.43049543,0.43049543
1968,Nevada,1.25,,1.25,1.25,34.78333333,9,9,4.95,6.19,1039.5,523.2,0.503318903,0.503318903
1968,New Hampshire,1.4,,1.4,1.4,34.78333333,10.08,10.08,4.95,6.93,1164.24,368,0.31608603,0.31608603
1968,New Jersey,1.4,,1.4,1.4,34.78333333,10.08,10.08,4.95,6.93,1164.24,466,0.400261115,0.400261115
1968,New Mexico,1.15 - 1.40,,1.4,1.15,34.78333333,10.08,8.28,4.95,6.93,1164.24,340.4,0.292379578,0.292379578
1968,New York,1.6,,1.6,1.6,34.78333333,11.52,11.52,4.95,7.92,1330.56,413.8,0.310996873,0.310996873
1968,North Carolina,1,,1,1,34.78333333,7.2,7.2,4.95,4.95,831.6,318.2,0.382635883,0.382635883
1968,North Dakota,1.00 - 1.25,,1.25,1,34.78333333,9,7.2,4.95,6.19,1039.5,368.4,0.354401154,0.354401154
1968,Ohio,.75 - 1.25(b),(b),1.25,0.75,34.78333333,9,5.4,4.95,6.19,1039.5,396.4,0.381337181,0.381337181
1968,Oklahoma,1,,1,1,34.78333333,7.2,7.2,4.95,4.95,831.6,308.2,0.370610871,0.370610871
1968,Oregon,1.25,,1.25,1.25,34.78333333,9,9,4.95,6.19,1039.5,397.8,0.382683983,0.382683983
1968,Pennsylvania,1.15,,1.15,1.15,34.78333333,8.28,8.28,4.95,5.69,956.34,348.6,0.364514712,0.364514712
1968,Puerto Rico,.43 - 1.60,,1.6,0.43,34.78333333,11.52,3.1,4.95,7.92,1330.56,,0,0
1968,Rhode Island,1.4,,1.4,1.4,34.78333333,10.08,10.08,4.95,6.93,1164.24,346.6,0.297704941,0.297704941
1968,South Carolina,...,,0,0,34.78333333,0,0,4.95,0.00,0,285,0,0
1968,South Dakota,17.00 - 20.00/wk,,0.5,0.425,34.78333333,3.6,3.06,4.95,2.48,415.8,336.4,0.809042809,0.809042809
1968,Tennessee,...,,0,0,34.78333333,0,0,4.95,0.00,0,303.2,0,0
1968,Texas,...,,0,0,34.78333333,0,0,4.95,0.00,0,351.2,0,0
1968,U.S. Virgin Islands,NA,,NA,NA,34.78333333,NA,NA,4.95,#VALUE!,#VALUE!,,0,0
1968,Utah,1.00 - 1.15(b),(b),1.15,1,34.78333333,8.28,7.2,4.95,5.69,956.34,363.4,0.37999038,0.37999038
1968,Vermont,1.4,,1.4,1.4,34.78333333,10.08,10.08,4.95,6.93,1164.24,361.8,0.310760668,0.310760668
1968,Virginia,...,,0,0,34.78333333,0,0,4.95,0.00,0,423.6,0,0
1968,Washington,1.6,,1.6,1.6,34.78333333,11.52,11.52,4.95,7.92,1330.56,417.2,0.313552189,0.313552189
1968,West Virginia,1,,1,1,34.78333333,7.2,7.2,4.95,4.95,831.6,273.8,0.329244829,0.329244829
1968,Wisconsin,1.25 (b),(b),1.25,1.25,34.78333333,9,9,4.95,6.19,1039.5,425,0.408850409,0.408850409
1968,Wyoming,1.2,,1.2,1.2,34.78333333,8.64,8.64,4.95,5.94,997.92,333.2,0.333894501,0.333894501
1969,Alabama,...,,0,0,36.68333333,0,0,4.69,0.00,0,260.7,0,0
1969,Alaska,2.1,,2.1,2.1,36.68333333,14.33,14.33,4.69,9.85,1654.632,715.5,0.432422436,0.432422436
1969,Arizona,18.72 - 26.40/wk(b),(b),0.66,0.468,36.68333333,4.51,3.19,4.69,3.10,520.0272,411.1,0.790535572,0.790535572
1969,Arkansas,1.25/day(b),(b),0.15625,0.15625,36.68333333,1.07,1.07,4.69,0.73,123.1125,268.9,2.184181135,2.184181135
1969,California,1.65(b),(b),1.65,1.65,36.68333333,11.26,11.26,4.69,7.74,1300.068,474.5,0.364980909,0.364980909
1969,Colorado,1.00 - 1.25(b),(b),1.25,1,36.68333333,8.53,6.83,4.69,5.86,984.9,415.3,0.421667174,0.421667174
1969,Connecticut,1.4,,1.4,1.4,36.68333333,9.56,9.56,4.69,6.57,1103.088,477.1,0.432513091,0.432513091
1969,Delaware,1.25,,1.25,1.25,36.68333333,8.53,8.53,4.69,5.86,984.9,421.3,0.427759163,0.427759163
1969,District of Columbia,1.25 - 1.40,,1.4,1.25,36.68333333,9.56,8.53,4.69,6.57,1103.088,451.2,0.409033549,0.409033549
1969,Federal (FLSA),$1.15 & $1.60,,1.6,1.15,36.68333333,10.92,7.85,4.69,7.50,1260.672,408.5,0.324033531,0.324033531
1969,Florida,...,,0,0,36.68333333,0,0,4.69,0.00,0,422,0,0
1969,Georgia,...,,0,0,36.68333333,0,0,4.69,0.00,0,322.1,0,0
1969,Guam,1.25,,1.25,1.25,36.68333333,8.53,8.53,4.69,5.86,984.9,,0,0
1969,Hawaii,1.25,,1.25,1.25,36.68333333,8.53,8.53,4.69,5.86,984.9,491.8,0.499340035,0.499340035
1969,Idaho,1.15,,1.15,1.15,36.68333333,7.85,7.85,4.69,5.39,906.108,349.7,0.385936334,0.385936334
1969,Illinois,...,,0,0,36.68333333,0,0,4.69,0.00,0,470.3,0,0
1969,Indiana,1.15,,1.15,1.15,36.68333333,7.85,7.85,4.69,5.39,906.108,397.2,0.438358341,0.438358341
1969,Iowa,...,,0,0,36.68333333,0,0,4.69,0.00,0,375.5,0,0
1969,Kansas,...,,0,0,36.68333333,0,0,4.69,0.00,0,357.4,0,0
1969,Kentucky,.65 - .75(b),(b),0.75,0.65,36.68333333,5.12,4.44,4.69,3.52,590.94,314.2,0.531695265,0.531695265
1969,Louisiana,...,,0,0,36.68333333,0,0,4.69,0.00,0,306,0,0
1969,Maine,1.4,,1.4,1.4,36.68333333,9.56,9.56,4.69,6.57,1103.088,342.9,0.310854619,0.310854619
1969,Maryland,1.00 & 1.15,,1.15,1,36.68333333,7.85,6.83,4.69,5.39,906.108,477.6,0.527089486,0.527089486
1969,Massachusetts,1.6,,1.6,1.6,36.68333333,10.92,10.92,4.69,7.50,1260.672,441.1,0.349892756,0.349892756
1969,Michigan,1.25,,1.25,1.25,36.68333333,8.53,8.53,4.69,5.86,984.9,435.7,0.442379937,0.442379937
1969,Minnesota,.70 - 1.15(b),(b),1.15,0.7,36.68333333,7.85,4.78,4.69,5.39,906.108,439.6,0.48515188,0.48515188
1969,Mississippi,...,,0,0,36.68333333,0,0,4.69,0.00,0,246.2,0,0
1969,Missouri,...,,0,0,36.68333333,0,0,4.69,0.00,0,364.1,0,0
1969,Montana,...,,0,0,36.68333333,0,0,4.69,0.00,0,340.3,0,0
1969,Nebraska,1,,1,1,36.68333333,6.83,6.83,4.69,4.69,787.92,361.5,0.458802924,0.458802924
1969,Nevada,1.25,,1.25,1.25,36.68333333,8.53,8.53,4.69,5.86,984.9,532.6,0.54076556,0.54076556
1969,New Hampshire,1.4,,1.4,1.4,36.68333333,9.56,9.56,4.69,6.57,1103.088,374,0.339048199,0.339048199
1969,New Jersey,1.4,,1.4,1.4,36.68333333,9.56,9.56,4.69,6.57,1103.088,475,0.430609344,0.430609344
1969,New Mexico,1.15 - 1.40,,1.4,1.15,36.68333333,9.56,7.85,4.69,6.57,1103.088,339.2,0.307500399,0.307500399
1969,New York,1.6,,1.6,1.6,36.68333333,10.92,10.92,4.69,7.50,1260.672,419.9,0.333076328,0.333076328
1969,North Carolina,1,,1,1,36.68333333,6.83,6.83,4.69,4.69,787.92,324.1,0.411336176,0.411336176
1969,North Dakota,1.00 - 1.25,,1.25,1,36.68333333,8.53,6.83,4.69,5.86,984.9,370.7,0.376383389,0.376383389
1969,Ohio,.75 - 1.25(b),(b),1.25,0.75,36.68333333,8.53,5.12,4.69,5.86,984.9,399.7,0.405828003,0.405828003
1969,Oklahoma,1,,1,1,36.68333333,6.83,6.83,4.69,4.69,787.92,311.6,0.395471621,0.395471621
1969,Oregon,1.25,,1.25,1.25,36.68333333,8.53,8.53,4.69,5.86,984.9,404.4,0.410600061,0.410600061
1969,Pennsylvania,1.15,,1.15,1.15,36.68333333,7.85,7.85,4.69,5.39,906.108,352.8,0.38935756,0.38935756
1969,Puerto Rico,.43 - 1.60,,1.6,0.43,36.68333333,10.92,2.94,4.69,7.50,1260.672,,0,0
1969,Rhode Island,1.4,,1.4,1.4,36.68333333,9.56,9.56,4.69,6.57,1103.088,351.8,0.318922878,0.318922878
1969,South Carolina,...,,0,0,36.68333333,0,0,4.69,0.00,0,290.5,0,0
1969,South Dakota,17.00 - 20.00/wk,,0.5,0.425,36.68333333,3.41,2.9,4.69,2.35,393.96,337.2,0.855924459,0.855924459
1969,Tennessee,...,,0,0,36.68333333,0,0,4.69,0.00,0,309.1,0,0
1969,Texas,...,,0,0,36.68333333,0,0,4.69,0.00,0,358.1,0,0
1969,U.S. Virgin Islands,NA,,NA,NA,36.68333333,NA,NA,4.69,#VALUE!,#VALUE!,,0,0
1969,Utah,1.00 - 1.15(b),(b),1.15,1,36.68333333,7.85,6.83,4.69,5.39,906.108,368.2,0.406353327,0.406353327
1969,Vermont,1.4,,1.4,1.4,36.68333333,9.56,9.56,4.69,6.57,1103.088,368.9,0.334424815,0.334424815
1969,Virginia,...,,0,0,36.68333333,0,0,4.69,0.00,0,432.8,0,0
1969,Washington,1.6,,1.6,1.6,36.68333333,10.92,10.92,4.69,7.50,1260.672,425.6,0.337597726,0.337597726
1969,West Virginia,1,,1,1,36.68333333,6.83,6.83,4.69,4.69,787.92,275.4,0.349527871,0.349527871
1969,Wisconsin,1.25 (b),(b),1.25,1.25,36.68333333,8.53,8.53,4.69,5.86,984.9,429.5,0.436084882,0.436084882
1969,Wyoming,1.2,,1.2,1.2,36.68333333,8.19,8.19,4.69,5.63,945.504,333.6,0.352827698,0.352827698
1970,Alabama,...,,0,0,38.825,0,0,4.44,0.00,0,265,0,0
1970,Alaska,2.1,,2.1,2.1,38.825,13.54,13.54,4.44,9.32,1566.432,726,0.463473678,0.463473678
1970,Arizona,18.72 - 26.40/wk(b),(b),0.66,0.468,38.825,4.26,3.02,4.44,2.93,492.3072,419,0.851094601,0.851094601
1970,Arkansas,1.1,,1.1,1.1,38.825,7.09,7.09,4.44,4.88,820.512,273,0.332719083,0.332719083
1970,California,1.65(b),(b),1.65,1.65,38.825,10.64,10.64,4.44,7.33,1230.768,484,0.393250393,0.393250393
1970,Colorado,1.00 - 1.25(b),(b),1.25,1,38.825,8.06,6.45,4.44,5.55,932.4,422,0.452595453,0.452595453
1970,Connecticut,1.6,,1.6,1.6,38.825,10.32,10.32,4.44,7.10,1193.472,488,0.408891034,0.408891034
1970,Delaware,1.25,,1.25,1.25,38.825,8.06,8.06,4.44,5.55,932.4,426,0.456885457,0.456885457
1970,District of Columbia,1.60 - 2.00,,2,1.6,38.825,12.9,10.32,4.44,8.88,1491.84,457,0.306333119,0.306333119
1970,Federal (FLSA),$1.30 & $1.60,,1.6,1.3,38.825,10.32,8.38,4.44,7.10,1193.472,415,0.347724957,0.347724957
1970,Florida,...,,0,0,38.825,0,0,4.44,0.00,0,430,0,0
1970,Georgia,...,,0,0,38.825,0,0,4.44,0.00,0,330,0,0
